"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","1999M07","State","%","5.4"
"Seasonally Adjusted Standardised Unemployment Rate","1999M08","State","%","5.3"
"Seasonally Adjusted Standardised Unemployment Rate","1999M09","State","%","5.2"
"Seasonally Adjusted Standardised Unemployment Rate","1999M10","State","%","5.2"
"Seasonally Adjusted Standardised Unemployment Rate","1999M11","State","%","5.1"
"Seasonally Adjusted Standardised Unemployment Rate","1999M12","State","%","4.9"
"Seasonally Adjusted Standardised Unemployment Rate","2000M01","State","%","4.8"
"Seasonally Adjusted Standardised Unemployment Rate","2000M02","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2000M03","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2000M04","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2000M05","State","%","4.4"
"Seasonally Adjusted Standardised Unemployment Rate","2000M06","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2000M07","State","%","4.2"
"Seasonally Adjusted Standardised Unemployment Rate","2000M08","State","%","4.1"
"Seasonally Adjusted Standardised Unemployment Rate","2000M09","State","%","4"
"Seasonally Adjusted Standardised Unemployment Rate","2000M10","State","%","3.8"
"Seasonally Adjusted Standardised Unemployment Rate","2000M11","State","%","3.8"
"Seasonally Adjusted Standardised Unemployment Rate","2000M12","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M01","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M02","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M03","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M04","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M05","State","%","3.7"
"Seasonally Adjusted Standardised Unemployment Rate","2001M06","State","%","3.9"
"Seasonally Adjusted Standardised Unemployment Rate","2001M07","State","%","4"
"Seasonally Adjusted Standardised Unemployment Rate","2001M08","State","%","4.1"
"Seasonally Adjusted Standardised Unemployment Rate","2001M09","State","%","4"
"Seasonally Adjusted Standardised Unemployment Rate","2001M10","State","%","4.1"
"Seasonally Adjusted Standardised Unemployment Rate","2001M11","State","%","4.2"
"Seasonally Adjusted Standardised Unemployment Rate","2001M12","State","%","4.1"
"Seasonally Adjusted Standardised Unemployment Rate","2002M01","State","%","4.2"
"Seasonally Adjusted Standardised Unemployment Rate","2002M02","State","%","4.2"
"Seasonally Adjusted Standardised Unemployment Rate","2002M03","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M04","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M05","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M06","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M07","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M08","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2002M09","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2002M10","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2002M11","State","%","5"
"Seasonally Adjusted Standardised Unemployment Rate","2002M12","State","%","4.8"
"Seasonally Adjusted Standardised Unemployment Rate","2003M01","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2003M02","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2003M03","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2003M04","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2003M05","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2003M06","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2003M07","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2003M08","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2003M09","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2003M10","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2003M11","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2003M12","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2004M01","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2004M02","State","%","4.8"
"Seasonally Adjusted Standardised Unemployment Rate","2004M03","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2004M04","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2004M05","State","%","4.4"
"Seasonally Adjusted Standardised Unemployment Rate","2004M06","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2004M07","State","%","4.3"
"Seasonally Adjusted Standardised Unemployment Rate","2004M08","State","%","4.3"
